id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
20665000,550000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1060,50.8287983,4.3557763,2007.0,135.0,,2,2,HYPER_EQUIPPED,0,0,1,6.0,0,0.0,0,1,GOOD,195.0,D,MISSING,0,1775.0
65177000,215000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1030,,,1935.0,80.0,,2,1,INSTALLED,0,0,0,0.0,0,0.0,0,1,MISSING,294.0,F,GAS,1,
45523000,400000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8434,51.1696493,2.7714908,1991.0,75.0,,2,2,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,180.0,B,ELECTRIC,1,1033.0
17984000,320000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9000,51.0274241,3.696983,,83.0,,4,2,USA_HYPER_EQUIPPED,0,0,1,15.0,0,0.0,0,0,AS_NEW,,MISSING,MISSING,1,
3617000,417500.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2800,51.0095525,4.4898045,2024.0,128.0,,2,3,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,0,MISSING,,MISSING,MISSING,0,
37337000,349500.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.20766,2.869756,2021.0,93.0,,2,2,MISSING,0,0,1,15.0,0,0.0,0,1,AS_NEW,0.0,MISSING,MISSING,0,
14462000,550000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1180,50.7952533,4.3197984,,144.0,,4,3,HYPER_EQUIPPED,0,0,1,35.0,0,0.0,0,1,AS_NEW,45.0,A,ELECTRIC,0,
36361000,378000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1140,50.8544611,4.4153501,2022.0,87.0,,2,2,USA_HYPER_EQUIPPED,0,0,1,12.0,0,0.0,0,0,AS_NEW,36.0,A,MISSING,1,
30615000,219000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1853,50.9096466,4.3535824,1955.0,55.0,,2,1,INSTALLED,0,1,0,0.0,0,0.0,0,0,GOOD,174.0,B,MISSING,1,622.0
35489000,273468.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1140,,,2021.0,76.0,,2,1,INSTALLED,0,1,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,
1106000,490000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9051,51.0188076,3.6701237,,137.0,,2,2,HYPER_EQUIPPED,0,0,0,0.0,1,90.0,0,0,MISSING,,MISSING,GAS,1,
64922000,240000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,,,1907.0,55.0,,2,1,SEMI_EQUIPPED,0,0,0,0.0,1,30.0,0,1,TO_RENOVATE,320.0,F,GAS,1,
33333000,195000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,,,1923.0,86.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,,MISSING,GAS,1,
54750000,209000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2030,51.2437837,4.4208588,1960.0,84.0,,3,2,INSTALLED,0,0,1,12.0,0,0.0,0,0,JUST_RENOVATED,197.0,B,ELECTRIC,1,1009.0
6482000,325000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2006882,4.4648041,1964.0,105.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,290.0,C,GAS,0,778.0
35658000,229900.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Marche-en-Famenne,6970,50.0919982,5.5065859,2024.0,91.0,,3,2,NOT_INSTALLED,0,0,1,,0,0.0,0,1,AS_NEW,85.0,A,GAS,0,
26297000,313849.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3500,50.9300124,5.3322355,2023.0,80.0,,2,1,INSTALLED,0,1,1,10.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
53132000,317000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,,,2024.0,108.0,,2,3,INSTALLED,0,0,1,32.0,0,0.0,0,1,MISSING,86.0,B,GAS,1,
74473000,367726.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9052,51.00886,3.7022223,2024.0,124.0,,3,3,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
33231000,169000.0,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5100,50.4589869,4.8702582,1960.0,78.0,,2,2,SEMI_EQUIPPED,0,0,1,,0,0.0,0,0,GOOD,180.0,C,GAS,1,674.0
75110000,295000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1190,50.8178731,4.3368777,1962.0,90.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,TO_BE_DONE_UP,148.0,C,GAS,1,1172.0
69570000,317892.0,APARTMENT,APARTMENT,Flanders,East Flanders,Dendermonde,9255,51.0099192,4.1969484,2023.0,84.0,,4,2,USA_HYPER_EQUIPPED,0,0,1,12.0,0,0.0,0,0,AS_NEW,,MISSING,MISSING,1,
32146000,325025.0,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,2300,51.3231065,4.9509853,,117.0,,2,2,MISSING,0,1,1,17.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
